filename	onset	offset	event_label
1038.wav	3.519841031	4.058548031	Speech
1038.wav	9.142874123	10	Speech
1038.wav	7.015396162	7.271427908	Dog
1041.wav	5.698080321	9.175200321	Alarm_bell_ringing
1041.wav	9.094513957	10	Speech
1043.wav	9.325145769	9.645417769	Alarm_bell_ringing
1044.wav	0.287678134	2.602984134	Alarm_bell_ringing
1044.wav	5.429820634	5.679820634	Alarm_bell_ringing
1044.wav	8.606061822	8.926673822	Alarm_bell_ringing
1044.wav	3.938138269	4.277095185	Speech
1044.wav	7.983459083	9.84320965	Speech
1047.wav	0.788188547	1.494167274	Alarm_bell_ringing
1047.wav	2.166023214	4.427723894	Alarm_bell_ringing
1047.wav	5.041359943	5.35249373	Alarm_bell_ringing
1047.wav	8.060711488	8.310711488	Alarm_bell_ringing
1047.wav	2.179098082	3.141411007	Speech
1047.wav	5.831713983	7.224660553	Speech
1050.wav	0.057767916	1.214638665	Speech
1050.wav	1.823532156	2.383668156	Speech
1050.wav	3.285670297	4.206826297	Speech
1050.wav	4.961481475	5.305290999	Speech
1050.wav	5.794210629	9.188842116	Speech
1050.wav	1.418819603	1.724375159	Alarm_bell_ringing
1050.wav	2.253890301	2.564071301	Alarm_bell_ringing
1050.wav	3.998050391	4.302336106	Alarm_bell_ringing
1050.wav	5.215024285	7.641668276	Alarm_bell_ringing
1050.wav	8.454348884	10	Alarm_bell_ringing
1050.wav	2.727541501	3.208539233	Dog
1051.wav	2.63022337	3.21033637	Speech
1051.wav	6.172782542	8.923440138	Speech
1051.wav	2.745425896	3.423226904	Alarm_bell_ringing
1051.wav	4.466565542	8.11450205	Alarm_bell_ringing
1051.wav	9.670091221	9.985170221	Alarm_bell_ringing
1051.wav	4.800221366	5.236185085	Dishes
1053.wav	0.092019788	2.512509481	Speech
1053.wav	3.404630344	4.170049846	Speech
1053.wav	9.438620319	10	Speech
1053.wav	6.102203456	8.130062411	Alarm_bell_ringing
1053.wav	8.884205818	9.216903818	Alarm_bell_ringing
1056.wav	4.672608008	5.148775809	Alarm_bell_ringing
1056.wav	7.725205646	9.931718294	Alarm_bell_ringing
1057.wav	3.41880868	5.85132568	Speech
1057.wav	5.222222731	5.533356518	Alarm_bell_ringing
1057.wav	7.003748497	7.253748497	Alarm_bell_ringing
1057.wav	9.675915095	10	Alarm_bell_ringing
1057.wav	9.09127154	9.98943454	Cat
1058.wav	3.504670554	5.694987554	Alarm_bell_ringing
1058.wav	7.154425273	7.643858273	Alarm_bell_ringing
1058.wav	7.912778808	10	Alarm_bell_ringing
1058.wav	6.11887702	6.36887702	Speech
1059.wav	5.124501283	5.615884283	Alarm_bell_ringing
106.wav	0.31656059	1.628057189	Speech
106.wav	2.675255236	3.676711124	Speech
106.wav	1.850995449	2.165870449	Alarm_bell_ringing
106.wav	4.656554714	5.132722514	Alarm_bell_ringing
106.wav	5.866130563	6.375913226	Alarm_bell_ringing
1062.wav	5.545942208	7.783583932	Alarm_bell_ringing
1065.wav	0.554368577	1.20689627	Alarm_bell_ringing
1065.wav	1.428470431	1.739604217	Alarm_bell_ringing
1065.wav	3.390461532	3.640461532	Alarm_bell_ringing
1065.wav	5.440470189	6.255807873	Alarm_bell_ringing
1065.wav	2.33823834	2.95089134	Speech
1065.wav	6.512279299	8.399331299	Speech
1065.wav	9.667846732	10	Speech
1067.wav	0.773279459	1.293823459	Speech
1067.wav	2.4332949	2.9246779	Alarm_bell_ringing
1067.wav	7.24776988	9.43808688	Alarm_bell_ringing
1068.wav	0.934062926	1.184062926	Alarm_bell_ringing
1068.wav	1.359459594	1.675831476	Alarm_bell_ringing
1068.wav	2.287847246	3.949662652	Alarm_bell_ringing
1068.wav	8.89762141	10	Alarm_bell_ringing
1068.wav	5.057900271	6.338557868	Speech
1068.wav	7.074109544	7.708349544	Speech
1068.wav	7.520753708	9.563928311	Dog
1069.wav	4.287537182	8.387287749	Alarm_bell_ringing
107.wav	0.431011336	1.586589336	Speech
107.wav	3.143490776	5.030542776	Speech
107.wav	7.645841363	8.826861363	Speech
107.wav	5.227777968	6.676938966	Alarm_bell_ringing
107.wav	8.107528848	10	Alarm_bell_ringing
1072.wav	1.117459693	1.367459693	Speech
1072.wav	7.971790672	8.531926672	Speech
1072.wav	8.818680374	10	Speech
1072.wav	3.924346783	4.257044783	Alarm_bell_ringing
1073.wav	5.253432055	5.589191693	Speech
1073.wav	8.640843158	10	Alarm_bell_ringing
1076.wav	2.75181292	5.18319592	Speech
1076.wav	3.636025495	6.212737495	Alarm_bell_ringing
1076.wav	8.606990481	10	Alarm_bell_ringing
1077.wav	0.338918725	0.964700725	Speech
1077.wav	2.584247683	5.103204599	Speech
1077.wav	9.598526807	10	Speech
1077.wav	6.380254384	6.684540099	Alarm_bell_ringing
1077.wav	7.152891041	10	Alarm_bell_ringing
1077.wav	7.397996371	7.889583371	Dishes
1078.wav	0.661184258	1.221320258	Speech
1078.wav	2.806621929	3.139319929	Alarm_bell_ringing
1078.wav	5.389773855	5.707052766	Alarm_bell_ringing
1078.wav	8.271449912	8.521449912	Dishes
1085.wav	0.003564684	0.574788684	Alarm_bell_ringing
1086.wav	1.151325905	2.072481905	Speech
1086.wav	8.525149984	10	Speech
1086.wav	4.343536334	8.587844334	Running_water
1086.wav	5.0262929	5.337426686	Alarm_bell_ringing
1087.wav	0.543719501	1.804377098	Speech
1087.wav	5.560253359	6.990661359	Speech
1087.wav	1.355803101	1.673444825	Alarm_bell_ringing
1087.wav	4.37144253	4.69164653	Alarm_bell_ringing
1088.wav	6.102391933	6.352391933	Alarm_bell_ringing
1088.wav	6.791602157	7.353983109	Alarm_bell_ringing
1088.wav	9.256642828	9.919907828	Speech
1090.wav	2.651310234	2.924870234	Alarm_bell_ringing
1090.wav	4.155896074	5.575760019	Speech
1090.wav	7.950629	8.912941925	Speech
1090.wav	5.007032075	5.449707812	Dog
1092.wav	3.416027812	3.771492665	Dog
1092.wav	3.746981739	4.266369494	Alarm_bell_ringing
1092.wav	6.793290176	7.109684734	Alarm_bell_ringing
1092.wav	6.115772284	7.39642988	Speech
1093.wav	1.584273602	1.897085394	Alarm_bell_ringing
1093.wav	2.744661626	3.060557317	Alarm_bell_ringing
1093.wav	9.400116326	9.919504081	Alarm_bell_ringing
1093.wav	3.929401312	4.179401312	Dog
1093.wav	4.552029582	5.366655432	Speech
1093.wav	6.552571477	9.477083477	Speech
1096.wav	0.001966655	0.317975655	Alarm_bell_ringing
1096.wav	8.670934212	9.087578203	Dog
1096.wav	9.358948386	10	Speech
1099.wav	2.363015453	6.596144453	Alarm_bell_ringing
110.wav	2.170604486	2.596658486	Dog
110.wav	2.476681723	2.78781551	Alarm_bell_ringing
110.wav	4.856525849	5.16933764	Alarm_bell_ringing
110.wav	8.59269953	8.91015953	Alarm_bell_ringing
110.wav	9.108489331	10	Alarm_bell_ringing
110.wav	4.999977784	5.650340596	Speech
110.wav	6.01604497	6.522575582	Speech
1106.wav	0.161808609	5.673758609	Running_water
1106.wav	7.779477343	9.904760343	Alarm_bell_ringing
1107.wav	2.073956134	2.388763134	Alarm_bell_ringing
1107.wav	5.909376834	8.224682834	Alarm_bell_ringing
1107.wav	4.567847987	5.452881987	Speech
1112.wav	0.450214112	1.020146085	Alarm_bell_ringing
1112.wav	4.03970775	6.43170275	Alarm_bell_ringing
1112.wav	1.347204798	2.870628798	Speech
1112.wav	6.468487443	8.783926119	Speech
1113.wav	1.399863746	1.889296746	Alarm_bell_ringing
1113.wav	7.458746916	7.776206916	Alarm_bell_ringing
1116.wav	8.154718921	8.638255921	Alarm_bell_ringing
1119.wav	1.703248372	4.859393372	Alarm_bell_ringing
1119.wav	7.918388641	8.320247641	Speech
1119.wav	8.658530848	9.385401596	Dog
112.wav	0.649301661	3.887827661	Alarm_bell_ringing
112.wav	4.686495442	4.936495442	Alarm_bell_ringing
112.wav	3.615755999	5.893918999	Speech
112.wav	7.093758689	9.862919687	Speech
1121.wav	1.410889537	1.917420149	Speech
1121.wav	3.61399221	4.85467221	Speech
1121.wav	5.090640722	6.53683965	Speech
1121.wav	1.898481546	7.991973546	Blender
1121.wav	8.480783402	10	Blender
1123.wav	1.903870122	10	Blender
1123.wav	5.761793415	6.72410634	Speech
1123.wav	8.213903966	8.626715758	Speech
1125.wav	5.632322981	6.776222981	Blender
1127.wav	0.213671414	3.245628695	Speech
1127.wav	6.661931802	7.939463472	Speech
1127.wav	4.690186886	6.464925886	Blender
1127.wav	9.459867976	10	Blender
1128.wav	1.106445283	2.628803283	Dishes
1128.wav	7.481118568	7.836810178	Dishes
1128.wav	4.820288436	5.847862132	Blender
1128.wav	7.260193494	8.404093494	Blender
1128.wav	7.914289388	10	Speech
1130.wav	9.727083401	10	Blender
1131.wav	7.283056292	9.36375924	Blender
1136.wav	4.929597155	5.728826155	Blender
1137.wav	4.680855297	5.333939197	Dishes
1137.wav	9.210744177	10	Blender
1139.wav	1.245065118	1.651187118	Blender
1140.wav	0.64389489	10	Blender
1140.wav	2.494658354	2.744658354	Dishes
1140.wav	4.16448983	5.759750601	Speech
1140.wav	8.396769585	9.77307344	Speech
1142.wav	0.022530157	1.863936052	Speech
1142.wav	2.040064166	3.264894098	Blender
1142.wav	3.535958642	4.051400642	Blender
1142.wav	7.127783587	7.377783587	Dishes
1143.wav	7.662856074	8.720905961	Blender
1144.wav	0.146789754	0.396789754	Dishes
1144.wav	8.538415113	8.788415113	Dishes
1144.wav	5.01897985	8.462290507	Blender
1144.wav	8.658293086	10	Blender
1144.wav	7.727092963	8.649784636	Speech
1145.wav	0.312214018	1.034572018	Speech
1145.wav	7.78826948	8.814505308	Speech
1145.wav	5.211688712	5.565021712	Dishes
1145.wav	6.655750657	8.145795657	Blender
1146.wav	0.009301076	1.153201076	Blender
1146.wav	8.984421988	10	Blender
1146.wav	0.083317339	2.297603053	Speech
1146.wav	6.107840245	6.675867245	Dishes
1147.wav	8.459127727	10	Blender
1150.wav	2.100255053	3.273543035	Speech
1150.wav	8.104093184	9.497154184	Speech
1150.wav	5.344240258	9.929115258	Blender
1151.wav	1.278897545	2.909940545	Speech
1151.wav	7.705406226	8.685927768	Speech
1151.wav	3.642450223	10	Blender
1152.wav	0.506557925	2.960820925	Blender
1152.wav	5.845178199	8.299441199	Blender
1152.wav	2.165411224	2.980037074	Speech
1152.wav	8.31567226	8.914084958	Speech
1153.wav	0.269403873	2.722474805	Speech
1153.wav	4.691461923	7.793625775	Speech
1153.wav	0.830576626	1.080576626	Dishes
1153.wav	8.172569741	8.422569741	Dishes
1153.wav	8.375215706	10	Blender
1154.wav	3.558368929	3.992767929	Speech
1154.wav	5.485039264	6.877306838	Speech
1154.wav	3.62881345	5.244006194	Blender
1154.wav	9.204742966	9.720184966	Blender
1154.wav	4.621625863	5.883779863	Dishes
1154.wav	6.771516937	10	Frying
1155.wav	4.83016746	5.70853446	Blender
1155.wav	5.273214522	6.595368522	Speech
1157.wav	0.404715954	1.97405691	Speech
1157.wav	6.207673546	7.680235546	Speech
1157.wav	8.862379485	10	Speech
1157.wav	1.132573636	1.880895631	Dishes
1157.wav	3.750375663	4.707473169	Dishes
1157.wav	4.863129267	5.706621267	Blender
1157.wav	6.883371364	9.159697895	Blender
1158.wav	0.789089595	1.520994357	Speech
1158.wav	3.663650575	4.314013387	Speech
1158.wav	1.743875324	2.178342324	Dishes
1158.wav	2.210744006	3.435573938	Blender
1158.wav	4.450206611	6.254129513	Blender
1158.wav	7.887664451	10	Blender
1160.wav	4.41962201	10	Blender
1160.wav	6.874043365	10	Speech
1161.wav	3.891347641	5.595515455	Speech
1161.wav	7.059317273	9.704305935	Speech
1161.wav	6.244318459	8.929647257	Blender
1163.wav	3.20253595	4.260585836	Blender
1163.wav	4.499003381	5.342495381	Blender
1165.wav	0.887407379	1.137407379	Dishes
1165.wav	3.680629097	3.930629097	Dishes
1165.wav	2.941402151	3.191402151	Speech
1165.wav	3.255263893	10	Blender
1166.wav	2.614964797	4.034828743	Speech
1166.wav	8.017818592	8.832036279	Blender
1167.wav	0.42479001	1.157097026	Speech
1167.wav	2.502206387	10	Speech
1167.wav	0.658378022	1.153978929	Blender
1167.wav	2.95336722	4.71284522	Dishes
1168.wav	0.912689521	1.266022521	Dishes
1168.wav	2.02262211	2.480898754	Speech
1168.wav	3.913349339	5.144412263	Speech
1168.wav	5.940595344	7.360459289	Speech
1168.wav	8.497002958	9.529587958	Blender
117.wav	1.214033864	1.464033864	Alarm_bell_ringing
117.wav	5.799568604	6.116416604	Alarm_bell_ringing
117.wav	6.796265338	7.108736993	Alarm_bell_ringing
1170.wav	2.799363584	3.440338584	Speech
1170.wav	8.311063744	10	Blender
1171.wav	8.611269165	9.590135165	Blender
1173.wav	0.023786758	1.416847758	Speech
1173.wav	1.193361209	1.443361209	Dishes
1173.wav	2.205882041	10	Blender
1175.wav	6.657305095	8.077169041	Speech
1175.wav	8.104778429	10	Blender
1176.wav	7.73030504	10	Blender
1177.wav	5.681977487	6.496195174	Blender
118.wav	1.791186615	4.947331615	Alarm_bell_ringing
118.wav	8.175214433	8.658751433	Alarm_bell_ringing
1182.wav	2.002766163	3.069047163	Speech
1182.wav	4.298696544	10	Blender
1184.wav	2.216081322	2.639165222	Dishes
1184.wav	5.246927379	7.327630326	Blender
1186.wav	4.29582288	10	Blender
1189.wav	3.262473002	4.295058002	Blender
1189.wav	8.938485663	10	Speech
119.wav	0.164707735	0.414707735	Alarm_bell_ringing
119.wav	1.155313383	1.46644717	Alarm_bell_ringing
119.wav	2.562044843	3.038212644	Alarm_bell_ringing
1190.wav	8.122308007	10	Blender
1191.wav	6.185819195	10	Blender
1193.wav	5.212318299	10	Blender
1196.wav	1.396437889	2.312537662	Dishes
1196.wav	7.674624482	10	Blender
1197.wav	3.455104047	4.286940782	Blender
1197.wav	4.613301098	5.427518785	Blender
1197.wav	5.958219531	10	Blender
1198.wav	0.247603741	1.275177437	Blender
1199.wav	1.456821753	3.098907753	Speech
1199.wav	7.367913805	8.822312805	Speech
1199.wav	5.001915164	6.491960164	Blender
12.wav	6.897125749	7.208259536	Alarm_bell_ringing
12.wav	8.186269563	10	Alarm_bell_ringing
1200.wav	0.479610028	0.975210935	Blender
1200.wav	6.816050934	7.707138934	Blender
1200.wav	1.124846762	1.374846762	Dishes
1200.wav	5.357061699	5.727673699	Dishes
1200.wav	7.781158349	8.574128871	Speech
1202.wav	0.614166371	6.429313371	Blender
1202.wav	3.797335835	4.101734835	Dishes
1202.wav	7.04033529	7.395771783	Speech
1203.wav	4.575048452	4.919696978	Speech
1203.wav	9.710221238	10	Blender
1204.wav	5.728248107	6.227567835	Dishes
1204.wav	8.957437145	10	Blender
1204.wav	9.405046849	10	Speech
1205.wav	0.641690636	1.119286636	Speech
1205.wav	6.94067115	7.41772315	Speech
1205.wav	3.867783886	4.273905886	Blender
1205.wav	8.226113285	8.476113285	Dishes
1207.wav	0.892679896	1.248371506	Dishes
1207.wav	2.655792494	3.634658494	Blender
1207.wav	6.905969871	7.836060574	Blender
1207.wav	8.983177437	10	Blender
1207.wav	3.953771379	4.916084304	Speech
1207.wav	5.982230333	8.627218995	Speech
1208.wav	0.752028859	1.933048859	Speech
1208.wav	5.447958157	7.348978157	Blender
1209.wav	1.734004439	1.994276439	Dishes
1209.wav	8.960087348	10	Blender
121.wav	1.07975844	10	Alarm_bell_ringing
1210.wav	3.593280757	4.818110689	Blender
1211.wav	2.783389861	3.033389861	Dishes
1211.wav	5.855357651	6.281616155	Speech
1211.wav	8.607762126	10	Blender
1213.wav	2.382650346	3.538228346	Speech
1213.wav	8.199537536	10	Speech
1213.wav	3.733842241	10	Blender
1215.wav	4.518120143	5.798777739	Speech
1215.wav	8.145847296	9.551334824	Blender
1216.wav	7.87517542	10	Blender
1218.wav	0.571614904	1.963133904	Blender
1218.wav	9.61404511	10	Blender
1220.wav	2.625638804	3.6532125	Blender
1220.wav	5.667386907	7.554438907	Speech
1221.wav	0.489247197	0.902172197	Dishes
1221.wav	3.376350773	3.626350773	Dishes
1221.wav	4.910744021	10	Blender
1222.wav	4.273927411	5.165015411	Blender
1222.wav	4.94805247	7.717213467	Speech
1223.wav	3.509067	4.430223	Speech
1223.wav	4.975903277	5.539984909	Speech
1223.wav	7.076506827	7.356687827	Speech
1223.wav	6.139961651	7.155993397	Blender
1223.wav	9.666893826	10	Blender
1226.wav	0.187609761	1.409015657	Speech
1226.wav	7.298767297	8.195161855	Speech
1226.wav	1.925169553	7.191337353	Blender
1227.wav	3.872205015	4.216014538	Speech
1227.wav	5.47049858	5.998412412	Speech
1227.wav	7.913189147	10	Speech
1227.wav	6.804636101	9.258899101	Blender
123.wav	0.137724075	0.387724075	Alarm_bell_ringing
123.wav	1.600057928	4.169082871	Alarm_bell_ringing
123.wav	7.504284383	7.820678941	Alarm_bell_ringing
123.wav	0.680964623	0.930964623	Speech
123.wav	2.867809736	3.117809736	Speech
123.wav	7.606697534	7.856697534	Speech
1230.wav	3.761311416	10	Blender
1230.wav	4.699616134	6.375421123	Speech
1230.wav	7.95547943	8.647792355	Speech
1232.wav	0.392446356	1.548024356	Speech
1232.wav	4.175255409	6.410905301	Speech
1232.wav	9.189814725	9.469995725	Speech
1232.wav	0.667249708	2.943576239	Blender
1232.wav	8.15069147	10	Blender
1232.wav	3.719313522	4.81570808	Dishes
1233.wav	4.92918564	5.77267764	Blender
1234.wav	1.031130621	5.616005621	Blender
1234.wav	2.929239249	5.353388909	Dishes
1235.wav	1.221601239	2.852644239	Speech
1235.wav	8.30420388	9.330439708	Speech
1235.wav	7.394555864	10	Blender
1236.wav	0.595666579	2.399589482	Blender
1236.wav	0.702062803	0.952062803	Dishes
1237.wav	0.234463951	1.849656695	Blender
1237.wav	9.072361743	10	Blender
1237.wav	5.868613166	7.261674166	Speech
1238.wav	1.26454547	4.707856128	Blender
1238.wav	5.362885366	6.429098366	Blender
1239.wav	3.353659288	5.750821985	Speech
1239.wav	9.571193065	9.984004856	Speech
1239.wav	9.046337264	10	Blender
124.wav	0.989319317	1.787558531	Alarm_bell_ringing
124.wav	3.613892289	4.42851814	Speech
124.wav	9.197053562	10	Speech
1240.wav	1.8318079	10	Blender
1240.wav	8.195238448	8.791723448	Dishes
1241.wav	0.8245343	10	Blender
1241.wav	7.361175594	8.053488519	Speech
1243.wav	3.790327885	10	Blender
1244.wav	0.423898406	3.109227204	Blender
1246.wav	1.920896765	3.326384294	Blender
1246.wav	9.237916901	10	Speech
1247.wav	0.330439668	2.13436257	Blender
1247.wav	2.987975325	3.879063325	Blender
1247.wav	3.348207389	5.02253254	Dishes
1247.wav	5.925817596	6.726996596	Speech
1247.wav	7.780676439	8.338408439	Speech
125.wav	1.483754942	2.011645942	Speech
125.wav	1.704021667	1.954021667	Dishes
125.wav	9.550004518	10	Alarm_bell_ringing
1250.wav	0.610605411	3.361263007	Speech
1250.wav	5.36695301	7.32951501	Speech
1250.wav	8.847329643	10	Blender
1252.wav	0.209911202	0.459911202	Dishes
1252.wav	9.110682649	9.602179248	Dishes
1252.wav	1.594364718	1.938174242	Speech
1252.wav	7.926094636	8.270743162	Speech
1252.wav	6.97516676	10	Blender
1253.wav	3.275112993	10	Blender
1254.wav	2.719071921	4.783697772	Speech
1254.wav	5.258338285	5.508338285	Speech
1254.wav	7.046868837	7.697231649	Speech
1254.wav	5.792205729	8.06853226	Blender
1256.wav	2.020959613	3.818941472	Speech
1256.wav	6.321723767	10	Blender
1257.wav	1.059225547	2.108681329	Blender
1258.wav	2.130348767	3.162933767	Blender
1259.wav	1.101658482	10	Blender
126.wav	9.377568943	10	Alarm_bell_ringing
1260.wav	0.965718025	2.740457025	Blender
1260.wav	3.177073985	4.063490985	Speech
1260.wav	6.393694905	6.643694905	Dishes
1260.wav	9.146837331	9.559762331	Dishes
1261.wav	3.006001088	5.382463673	Blender
1262.wav	1.699358369	3.55600236	Blender
1262.wav	7.380005762	10	Blender
1262.wav	2.755155908	3.641572908	Speech
1264.wav	0.313124429	1.112353429	Blender
1264.wav	3.744183181	5.234228181	Blender
1264.wav	2.343990072	3.265146072	Speech
1264.wav	5.39767322	6.06093822	Speech
1265.wav	2.450633542	2.928229542	Speech
1265.wav	3.736447733	4.765381733	Speech
1265.wav	6.990706515	7.697486515	Speech
1265.wav	5.932450346	7.965959017	Blender
1268.wav	7.870259034	10	Running_water
1268.wav	8.994753721	9.973619721	Blender
1272.wav	3.274258333	6.169280342	Blender
1272.wav	5.273151925	6.915237925	Speech
1272.wav	7.13223892	10	Speech
1274.wav	0.918844724	2.099864724	Speech
1274.wav	3.994347063	5.175367063	Speech
1274.wav	1.044616937	8.875568937	Blender
1274.wav	7.66854002	10	Vacuum_cleaner
1275.wav	0.404700861	1.295788861	Blender
1275.wav	1.794658161	10	Blender
1276.wav	0.622031403	3.076294403	Blender
1276.wav	3.415589301	5.221167301	Blender
1276.wav	2.393121873	3.812985818	Speech
1276.wav	8.697339388	10	Speech
1277.wav	2.14736955	5.700748235	Speech
1277.wav	6.408281971	7.304676529	Speech
1277.wav	8.806778997	10	Speech
1277.wav	4.271478787	5.076217787	Blender
1277.wav	9.747734209	10	Blender
1277.wav	6.274838879	6.531346816	Dishes
1278.wav	0.049811658	0.690786658	Speech
1278.wav	6.341212498	8.902400394	Speech
1278.wav	1.547857017	2.063299017	Blender
1278.wav	3.284701802	3.690823802	Blender
1279.wav	1.519678402	1.855438039	Speech
1279.wav	3.264765769	4.799527674	Speech
1279.wav	6.30610884	8.520394555	Speech
1279.wav	9.130282463	9.650826463	Speech
1279.wav	9.276976097	10	Blender
128.wav	0.197379233	2.182277192	Alarm_bell_ringing
128.wav	3.37222646	3.688621018	Alarm_bell_ringing
128.wav	5.075455852	5.561963789	Alarm_bell_ringing
128.wav	8.419537327	8.732349118	Alarm_bell_ringing
128.wav	1.296041449	2.08284417	Speech
128.wav	3.468602981	4.888466926	Speech
128.wav	8.531193776	10	Speech
1281.wav	1.915990384	7.850026384	Blender
1281.wav	9.19264367	10	Speech
1286.wav	5.260840494	6.637144348	Speech
1286.wav	7.122545755	7.606196549	Blender
1287.wav	0.924787483	7.311771483	Blender
1287.wav	2.904487652	5.828999652	Speech
1288.wav	7.754325606	10	Blender
129.wav	3.312885424	9.316899029	Alarm_bell_ringing
129.wav	5.853574353	6.417655986	Speech
129.wav	8.459774925	10	Speech
1292.wav	2.168148888	10	Blender
1293.wav	2.255378169	4.156398169	Blender
1293.wav	5.280500581	7.874219402	Blender
1293.wav	3.987201313	4.551282946	Speech
1293.wav	5.636630113	6.554611972	Dishes
1294.wav	4.674118295	6.413257867	Speech
1294.wav	8.014252164	9.171122912	Speech
1294.wav	7.218076322	10	Blender
1295.wav	2.980072778	4.959346778	Blender
1299.wav	1.287711855	3.762580753	Speech
1299.wav	3.939482996	5.359346942	Speech
1299.wav	6.37939007	8.34195207	Speech
1299.wav	7.668687264	10	Blender
1299.wav	8.59640075	8.84640075	Dishes
130.wav	1.858800615	2.422882247	Speech
130.wav	2.779253184	4.030704184	Speech
130.wav	5.158779274	5.716511274	Speech
130.wav	7.714789486	9.036943486	Speech
130.wav	6.158705825	6.478682825	Alarm_bell_ringing
130.wav	6.870577972	7.190872757	Alarm_bell_ringing
1302.wav	9.545704203	10	Blender
1305.wav	3.854648746	9.120816547	Blender
1307.wav	0.787901435	1.404069235	Blender
1307.wav	6.34946768	10	Blender
1309.wav	1.416769665	1.666769665	Dishes
1309.wav	2.219277193	8.312769193	Blender
1309.wav	2.471690597	5.996303251	Speech
1309.wav	8.982355953	10	Speech
131.wav	1.64751287	2.13204787	Alarm_bell_ringing
131.wav	3.413411233	3.746109233	Alarm_bell_ringing
131.wav	8.952048064	10	Alarm_bell_ringing
131.wav	1.669664628	2.987685005	Speech
131.wav	3.90051628	4.15951828	Speech
131.wav	5.881080424	7.523166424	Speech
